"Property Name",,"ru-RU","Node Path"
"Value","{0}ing error : {1}","Ошибка: {1}","Localization\WebTransport\CommandError"
"Value","Deleted OK","Удаление завершено","Localization\WebTransport\Deleted"
"Value","Deleting file {0} ...","Удаление файла {0} ...","Localization\WebTransport\Deleting"
"Value","Downloaded OK","Получение завершено","Localization\WebTransport\Downloaded"
"Value","Downloading file {0} ...","Получение файла {0} ...","Localization\WebTransport\Downloading"
"Value","Invalid uri {0}","Недопустимый uri {0}","Localization\WebTransport\InvalidUri"
"Value","Listed OK","Список файлов получен","Localization\WebTransport\Listed"
"Value","Getting files list ...","Получение списка файлов...","Localization\WebTransport\Listing"
"Value","Uploaded OK","Отправка завершена","Localization\WebTransport\Uploaded"
"Value","Uploading file {0} ...","Отправка файла {0} ...","Localization\WebTransport\Uploading"
